symbol,description,asset_class,contract_size,margin_percent,leverage,leverage_swing,commission,commission_type,timezone,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
BTCUSD,Bitcoin vs US Dollar, Spot CFD,Crypto CFD,1,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
DASHUSD,Dash vs US Dollar, Spot CFD,Crypto CFD,1000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
ETHUSD,Ethereum vs US Dollar, Spot CFD,Crypto CFD,10,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
LTCUSD,Litecoin vs US Dollar, Spot CFD,Crypto CFD,100,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
XRPUSD,Ripple vs US Dollar, Spot CFD,Crypto CFD,10000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
XMRUSD,Monero vs US Dollar, Spot CFD,Crypto CFD,100,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
NEOUSD,Neo vs US Dollar, Spot CFD,Crypto CFD,1000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
ADAUSD,Cardano vs US Dollar, Spot CFD,Crypto CFD,100000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
DOTUSD,Polkadot vs US Dollar, Spot CFD,Crypto CFD,10000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
DOGEUSD,Dogecoin vs US Dollar, Spot CFD,Crypto CFD,100000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
SOLUSD,Solana vs US Dollar, Spot CFD,Crypto CFD,100,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
AVAUSD,Avalanche vs US Dollar, Spot CFD,Crypto CFD,1000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
BCHUSD,BitCoin Cash vs US Dollar, Spot CFD,Crypto CFD,100,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
ETCUSD,Ethereum Classic vs US Dollar, Spot CFD,Crypto CFD,1000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
BNBUSD,Binance Coin vs US Dollar, Spot CFD,Crypto CFD,100,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
SANUSD,The Sandbox vs US Dollar, Spot CFD,Crypto CFD,100000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
LNKUSD,Chainlink vs US Dollar, Spot CFD,Crypto CFD,1000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
NERUSD,NEAR protocol vs US Dollar, Spot CFD,Crypto CFD,10000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
ALGUSD,Algorand vs US Dollar, Spot CFD,Crypto CFD,100000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
ICPUSD,Internet Computer vs US Dollar, Spot CFD,Crypto CFD,10000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
AAVUSD,AAVE vs US Dollar, Spot CFD,Crypto CFD,100,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
BARUSD,Hedera vs US Dollar, Spot CFD,Crypto CFD,100000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
GALUSD,GALA vs US Dollar, Spot CFD,Crypto CFD,1000000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
GRTUSD,The Graph vs US Dollar, Spot CFD,Crypto CFD,1000000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
IMXUSD,Immutable X vs US Dollar, Spot CFD,Crypto CFD,100000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
MANUSD,Decentraland vs US Dollar, Spot CFD,Crypto CFD,100000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
VECUSD,VeChain vs US Dollar, Spot CFD,Crypto CFD,1000000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
XLMUSD,Stellar Lumens vs US Dollar, Spot CFD,Crypto CFD,100000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
UNIUSD,Uniswap vs US Dollar, Spot CFD,Crypto CFD,10000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
FETUSD,Fetch.AI vs US Dollar, Spot CFD,Crypto CFD,100000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
XTZUSD,Tezos vs US Dollar, Spot CFD,Crypto CFD,100000,30,1:3.33,1:1,0.065,PERCENT/VOLUME,GMT+2,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,00:05,23:55,01:05,23:55
