symbol,status,folds,parquet
FRA40.cash,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/FRA40.cash/wfo_metrics.parquet
EUR_CZK,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/EUR_CZK/wfo_metrics.parquet
EUR_PLN,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/EUR_PLN/wfo_metrics.parquet
EUR_HUF,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/EUR_HUF/wfo_metrics.parquet
EUR_NOK,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/EUR_NOK/wfo_metrics.parquet
DASHUSD,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/DASHUSD/wfo_metrics.parquet
HEATOIL.c,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/HEATOIL.c/wfo_metrics.parquet
IBE,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/IBE/wfo_metrics.parquet
NATGAS.cash,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/NATGAS.cash/wfo_metrics.parquet
USD_CNH,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/USD_CNH/wfo_metrics.parquet
NEOUSD,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/NEOUSD/wfo_metrics.parquet
NZD_USD,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/NZD_USD/wfo_metrics.parquet
USD_HKD,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/USD_HKD/wfo_metrics.parquet
USD_ILS,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/USD_ILS/wfo_metrics.parquet
USD_SGD,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/USD_SGD/wfo_metrics.parquet
USD_MXN,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/USD_MXN/wfo_metrics.parquet
WHEAT.c,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/WHEAT.c/wfo_metrics.parquet
USD_ZAR,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/USD_ZAR/wfo_metrics.parquet
XPD_USD,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/XPD_USD/wfo_metrics.parquet
XPT_USD,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/XPT_USD/wfo_metrics.parquet
XMRUSD,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/XMRUSD/wfo_metrics.parquet
