symbol,timeframe,cluster,bars,signals,trades,wins,losses,win_rate,total_return_pct,ann_return_pct,max_dd_pct,sharpe,profit_factor,avg_pnl_pct,median_pnl_pct,avg_bars_held,cost_bps,final_equity,exit_SL,exit_TP,exit_BE,exit_TRAIL,exit_HORIZON,SL,TP,BE,trail_act,trail_dist,horizon,mc_dd_p5,mc_dd_p25,mc_dd_p50,mc_dd_p75,mc_dd_p95,mc_ruin_pct
AAVUSD,H4,crypto,11372,5946,582,215,367,36.9,77.95,5.93,50.02,0.339,1.132,0.4542,-0.375,16.4,37.5,177948.04,188,8,128,108,150,2.671,9.82,1.763,3.681,1.699,29,40.2,47.7,53.4,60.3,70.6,0.0
AMZN,H4,equity,3453,1937,570,234,336,41.1,411.74,17.73,12.94,1.194,1.483,0.3824,-0.6889,2.7,8.4,511736.79,314,4,8,194,50,0.827,5.406,1.267,1.372,0.302,7,12.7,15.2,17.4,20.3,25.5,0.0
AVAUSD,H4,crypto,10187,5404,1084,274,810,25.3,-73.94,-12.58,94.82,-0.04,0.988,-0.027,-2.1779,6.4,37.5,26057.76,703,6,104,192,79,0.855,8.674,1.689,2.433,1.791,22,80.9,85.9,89.4,92.5,95.9,100.0
FRA40.cash,H4,index,7317,4001,546,132,414,24.2,4.33,0.42,2.87,0.291,1.135,0.0533,-0.05,10.0,5.0,104330.87,145,8,265,105,23,2.342,7.329,0.872,3.092,1.613,36,2.4,3.0,3.6,4.4,5.7,0.0
JP225.cash,H4,index,7957,4262,698,155,543,22.2,13.22,1.25,18.24,0.258,1.094,0.0463,-0.577,8.5,5.0,113220.79,366,21,173,61,77,1.237,6.595,1.404,3.997,1.838,24,8.7,10.8,12.7,15.3,19.0,0.0
LNKUSD,H4,crypto,11289,5874,628,218,410,34.7,-80.93,-15.27,87.18,-0.135,0.94,-0.267,-0.375,14.7,37.5,19065.57,280,29,105,88,126,2.25,7.461,1.955,3.244,2.459,30,83.3,87.2,90.4,93.0,95.5,100.0
LVMH,H1,equity,14196,7741,1753,366,1387,20.9,88.75,6.56,10.77,0.769,1.189,0.078,-0.084,5.2,8.4,188753.07,838,9,548,345,13,0.995,7.319,0.933,2.855,0.413,30,10.2,12.5,14.4,17.0,21.6,0.0
NERUSD,H4,crypto,10045,5383,1354,241,1113,17.8,-96.45,-28.38,98.05,-0.055,0.984,-0.0275,-0.375,4.4,37.5,3549.52,438,3,674,220,19,1.216,6.042,0.426,2.569,0.541,23,97.2,98.2,98.8,99.3,99.7,100.0
NVDA,H4,equity,2754,1621,496,100,396,20.2,4034.97,45.09,38.75,1.284,1.869,0.6123,-0.7515,2.6,8.4,4134970.72,255,2,141,98,,0.501,6.144,0.542,1.998,0.58,23,21.6,25.9,29.6,33.7,41.8,0.0
NZD_USD,H4,forex,15577,8410,1037,250,787,24.1,-11.35,-1.2,19.41,-0.332,0.913,-0.0298,-0.055,11.8,5.5,88654.07,471,28,312,159,67,1.73,7.354,1.452,3.589,1.972,34,12.7,14.7,16.6,18.2,21.1,0.0
