symbol,status,rows,cluster,gpu,timeframe,best_ev,trials,device_used,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,source_csv,error
AAVUSD,ok,3376,crypto,0,H1,0.0003524109155582905,600,cuda,0.0003524109155582905,6.5,0.6320113762041969,8.0,1391,3,7.741432975399265,0.5676974032923926,0.8478885333668331,0.0010690147558115727,0.006723043473683644,1.8081531431239957,0.2967481991637997,0.8599130976047638,models/optuna_results/optuna_realcosts_H1_20260211_155211/summary.csv,
AVAUSD,ok,0,,0,H1,0.0020453159413415583,2323,cuda:0,,,,,159,3,0.0906682247670193,0.5125031903457766,0.698380236708585,0.0014168305605244084,10.861349154953377,4.882333999204987,,,models/optuna_results/optuna_deep_H1_20260208_102205/summary.csv,
LNKUSD,ok,0,,0,H1,0.001143039887285324,150,cuda:0,,,,,149,5,0.40456661882608286,0.5816490790821456,0.8027029311497655,0.010231460419598794,0.5242979882037402,1.2010226966747095,,,models/optuna_results/optuna_deep_H1_20260208_102205/summary.csv,
NERUSD,ok,0,,0,H1,0.005170754187999071,150,cuda:0,,,,,945,7,4.15407852900323,0.7000741621431505,0.8271586638982955,0.011113991331526936,1.4971448631377602,2.4908569446471103,,,models/optuna_results/optuna_deep_H1_20260208_102205/summary.csv,
NZD_USD,ok,0,,0,H1,0.00032764048383915486,146,cuda:0,,,,,1599,4,0.004052538064366551,0.7958145014400116,0.5502000724596399,0.0003850882730989757,8.330841144870673,0.500121945435074,,,models/optuna_results/optuna_deep_H1_20260208_102205/summary.csv,
AMZN,ok,1862,equity,0,H1,0.0027719527043229566,1000,cuda,0.0027719527043229566,0.4,4.884872438218071,2.5,142,8,0.3730732498255596,0.5009142737270356,0.5440339694418405,0.0007789925603304309,0.00003916993574938585,0.7042877616094831,0.2996273467438768,0.3400343915681863,models/optuna_results/optuna_full_universe_20260210_220010/summary.csv,
FRA40.cash,ok,4677,index,0,H1,0.0002482298317951546,600,cuda,0.0002482298317951546,0.0,1.9992239037647894,1.5,223,6,0.0022750898126789225,0.683300636180807,0.4338356660036729,0.00046147821057351,0.2664268280518519,0.48507185218426047,0.27771306100437204,0.7026041201736652,models/optuna_results/optuna_realcosts_H1_20260211_155211/summary.csv,
JP225.cash,ok,6107,index,0,H1,0.0009320317721584416,1000,cuda,0.0009320317721584416,0.0,1.312811763171032,1.5,603,8,0.0014758857917212332,0.40617029937694527,0.6961927891651807,0.0007863428725845426,0.00005578379478417098,0.6063780896230531,0.277548332931095,0.7379676604803278,models/optuna_results/optuna_full_universe_20260210_220010/summary.csv,
LVMH,ok,2389,equity,0,H1,0.004114041539113597,1000,cuda,0.004114041539113597,0.4,2.429656764257795,2.5,1875,2,2.264567859889749,0.428582157087001,0.41702573625385586,0.007423212879169063,0.009794658013929616,2.934573933555117,0.29919364858497066,0.4520327685772346,models/optuna_results/optuna_full_universe_20260210_220010/summary.csv,
NVDA,ok,1805,equity,0,H1,0.006688926877204548,1000,cuda,0.006688926877204548,0.4,5.568858940802714,2.5,1654,2,0.0019424173086260517,0.8017311439817597,0.9139277099440439,0.0006777167585996843,0.01039046984230336,0.3548686882526966,0.29887192809836177,0.8703268255104307,models/optuna_results/optuna_full_universe_20260210_220010/summary.csv,
