symbol,status,rows,cluster
AAVUSD,insufficient_rows,835,crypto
ADAUSD,insufficient_rows,2151,crypto
ALGUSD,insufficient_rows,821,crypto
AVAUSD,insufficient_rows,835,crypto
BARUSD,insufficient_rows,835,crypto
BCHUSD,insufficient_rows,2033,crypto
BNBUSD,insufficient_rows,785,crypto
BTCUSD,insufficient_rows,2108,crypto
DASHUSD,insufficient_rows,2174,crypto
DOGEUSD,insufficient_rows,2110,crypto
DOTUSD,insufficient_rows,2207,crypto
ETCUSD,insufficient_rows,820,crypto
ETHUSD,insufficient_rows,2084,crypto
FETUSD,insufficient_rows,862,crypto
GALUSD,insufficient_rows,833,crypto
GRTUSD,insufficient_rows,822,crypto
ICPUSD,insufficient_rows,871,crypto
IMXUSD,insufficient_rows,818,crypto
LNKUSD,insufficient_rows,813,crypto
LTCUSD,insufficient_rows,2116,crypto
MANUSD,insufficient_rows,822,crypto
NEOUSD,insufficient_rows,2064,crypto
NERUSD,insufficient_rows,845,crypto
SANUSD,insufficient_rows,819,crypto
SOLUSD,insufficient_rows,846,crypto
UNIUSD,insufficient_rows,781,crypto
VECUSD,insufficient_rows,823,crypto
XLMUSD,insufficient_rows,818,crypto
XMRUSD,insufficient_rows,2056,crypto
XRPUSD,insufficient_rows,2010,crypto
XTZUSD,insufficient_rows,828,crypto
