symbol,timeframe,cluster,optuna_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon
DASHUSD,H4,crypto,0.010217,1.5,6.0,1.0,3.0,1.0,30
HK50.cash,H4,index,0.003685,1.5,6.0,0.8,2.5,1.0,30
XAG_USD,H4,commodity,0.003479,1.5,6.0,0.8,2.5,1.0,30
XAG_EUR,H4,commodity,0.002793,1.5,6.0,0.8,2.5,1.0,30
EU50.cash,H4,index,0.002768,1.5,6.0,0.8,2.5,1.0,30
XAG_AUD,H4,commodity,0.00237,1.5,6.0,0.8,2.5,1.0,30
USOIL.cash,H4,commodity,0.001928,1.5,6.0,0.8,2.5,1.0,30
JP225.cash,H4,index,0.001663,1.5,6.0,0.8,2.5,1.0,30
US100.cash,H4,index,0.001532,1.5,6.0,0.8,2.5,1.0,30
US2000.cash,H4,index,0.001348,1.5,6.0,0.8,2.5,1.0,30
XAU_USD,H4,commodity,0.001271,1.5,6.0,0.8,2.5,1.0,30
GER40.cash,H4,index,0.001242,1.5,6.0,0.8,2.5,1.0,30
UK100.cash,H4,index,0.0011,1.5,6.0,0.8,2.5,1.0,30
ETHUSD,H4,crypto,0.001026,1.5,6.0,1.0,3.0,1.0,30
US30.cash,H4,index,0.00098,1.5,6.0,0.8,2.5,1.0,30
XAU_AUD,H4,commodity,0.001029,1.5,6.0,0.8,2.5,1.0,30
XAU_EUR,H4,commodity,0.000915,1.5,6.0,0.8,2.5,1.0,30
US500.cash,H4,index,0.000912,1.5,6.0,0.8,2.5,1.0,30
BCHUSD,H4,crypto,0.000693,1.5,6.0,1.0,3.0,1.0,30
CAD_JPY,H4,forex,0.000658,1.5,6.0,0.8,2.5,1.0,30
USD_JPY,H4,forex,0.000609,1.5,6.0,0.8,2.5,1.0,30
EUR_USD,H4,forex,0.000461,1.5,6.0,0.8,2.5,1.0,30
AUS200.cash,H4,index,0.000518,1.5,6.0,0.8,2.5,1.0,30
AUD_JPY,H4,forex,0.000307,1.5,6.0,0.8,2.5,1.0,30
USD_CHF,H4,forex,0.00028,1.5,6.0,0.8,2.5,1.0,30
NZD_JPY,H4,forex,0.000273,1.5,6.0,0.8,2.5,1.0,30
AUD_USD,H4,forex,0.000239,1.5,6.0,0.8,2.5,1.0,30
GBP_CHF,H4,forex,0.000161,1.5,6.0,0.8,2.5,1.0,30
AUD_CHF,H4,forex,0.000157,1.5,6.0,0.8,2.5,1.0,30
NZD_USD,H4,forex,0.000145,1.5,6.0,0.8,2.5,1.0,30
CAD_CHF,H4,forex,0.000139,1.5,6.0,0.8,2.5,1.0,30
LTCUSD,H4,crypto,0.000108,1.5,6.0,1.0,3.0,1.0,30
UKOIL.cash,H4,commodity,0.001558,1.5,6.0,0.8,2.5,1.0,30
GBP_JPY,H4,forex,1.2e-05,1.5,6.0,0.8,2.5,1.0,30
GBP_USD,H4,forex,9e-06,1.5,6.0,0.8,2.5,1.0,30
META,H1,equity,0.00143,1.5,4.5,1.0,2.0,0.5,24
LVMH,H1,equity,0.001666,1.5,4.5,1.0,2.0,0.5,24
AMZN,H1,equity,0.001165,1.5,4.5,1.0,2.0,0.5,24
NVDA,H1,equity,0.001117,1.5,4.5,1.0,2.0,0.5,24
BABA,H1,equity,0.00077,1.5,4.5,1.0,2.0,0.5,24
AAPL,H1,equity,0.000273,1.5,4.5,1.0,2.0,0.5,24
GOOG,H1,equity,0.000106,1.5,4.5,1.0,2.0,0.5,24
MSFT,H1,equity,0.000138,1.5,4.5,1.0,2.0,0.5,24
LVMH,M30,equity,0.002187,1.5,4.5,1.0,2.0,0.5,24
